,0
0,Arizona
1,Illinois
2,Indiana
3,Iowa
4,Kansas
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,Nevada
17,New Hampshire
18,New Mexico
19,North Dakota
20,Oklahoma
21,Oregon
22,Pennsylvania
23,Rhode Island
24,South Dakota
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,West Virginia
